Area Name,Latitude,Longitude,Streetlights,CCTV Presence,Police Stations Nearby (km),Slum Area,Road Condition Score,Crime Reports Count,Crime Types,Pedestrian Friendly,Traffic Density,Emergency Services Nearby (km),Distance from Borivali (km),Travel Time to Borivali (min),Connected Areas
Eksar,19.237806978308008,72.84452775486503,No,No,1.8,No,4,11,Vandalism,No,Medium,1.8,1.49,5.5,"Borivali Station West, Mandapeshwar, IC Colony"
Royal Palms,19.237831240237565,72.85701620470263,No,No,1.8,Yes,2,46,Theft,Yes,Medium,1.4,0.81,3.5,
Borivali Station West,19.237887664972703,72.86855994236167,No,No,3.0,Yes,3,35,Burglary,Yes,High,0.1,1.52,4.6,"Eksar, Kandarpada, Shimpoli"
Shivdham,19.233218233994915,72.87859558496382,Yes,Yes,1.9,No,3,44,Burglary,No,High,0.9,2.35,5.6,
Sunshine Hills,19.24836496969823,72.85559699713909,No,No,0.1,No,4,36,None,No,High,0.4,1.98,5.5,
Mandapeshwar,19.236925237124684,72.87054700492331,No,No,1.4,No,1,2,Theft,Yes,Medium,0.4,1.65,4.0,"Eksar, IC Colony, Shimpoli"
Giles Nagar,19.26916396628128,72.85754867940913,Yes,No,0.3,No,1,38,Vandalism,Yes,High,1.1,4.28,8.8,
Kandarpada,19.24529170529603,72.85850402733864,Yes,No,0.5,No,1,43,Theft,Yes,High,1.7,1.65,4.9,"Borivali Station West, Dahisar Check Naka"
Peaceful Valley,19.25837382032461,72.84878708542286,No,Yes,2.2,No,5,7,Burglary,Yes,Low,0.9,3.19,7.9,
Simmons Nagar,19.249274254236624,72.87796116654215,No,No,2.6,Yes,3,24,Vandalism,No,Low,1.8,3.08,8.9,
SFIT (Direct Route),19.264133191331275,72.87948799953449,No,No,0.7,Yes,2,31,None,No,Low,1.2,4.44,8.9,
Kandarpada,19.264004321839025,72.87593614068876,No,Yes,2.2,Yes,2,39,Theft,No,Low,0.9,4.24,11.1,"Borivali Station West, Dahisar Check Naka"
Gorai,19.24262821005105,72.84240474309605,No,Yes,2.5,Yes,5,41,Vandalism,Yes,Low,0.1,1.99,6.4,
Simmons Nagar,19.26096050653469,72.8673387218942,Yes,No,2.4,Yes,1,50,Burglary,No,Medium,0.2,3.56,9.7,
Patterson Nagar,19.241143615803416,72.85392899170516,Yes,No,2.5,No,3,16,Accident,No,High,0.8,1.21,4.8,
Dahanukar Wadi,19.26869212905193,72.87231505178985,Yes,Yes,1.8,No,1,27,Accident,No,Medium,0.5,4.55,10.5,
Baker Nagar,19.23885359248883,72.84982272881012,Yes,Yes,0.4,Yes,4,35,Theft,Yes,High,1.0,1.15,4.7,
Green Woods,19.26824123597685,72.8670122367178,No,Yes,1.9,Yes,3,16,None,Yes,High,0.3,4.32,10.6,
Palm Grove,19.23140065227399,72.84111157808987,No,Yes,2.9,No,1,26,Theft,Yes,High,0.8,1.61,4.3,
Johnson Nagar,19.261691509521405,72.86363269187768,No,No,2.7,No,5,22,Vandalism,Yes,Medium,1.0,3.54,7.9,
Richard Nagar,19.234745579249687,72.86254665234631,No,Yes,2.7,No,1,39,Burglary,Yes,High,0.2,0.8,3.8,
Kandarpada,19.23769209180906,72.87938510482924,No,No,0.7,No,4,29,None,No,Medium,0.7,2.54,7.0,"Borivali Station West, Dahisar Check Naka"
Padilla Nagar,19.265288534574324,72.87280177601913,No,Yes,1.8,Yes,4,7,Burglary,No,Low,1.9,4.22,8.6,
Western Heights,19.249985246926705,72.85095763549464,No,No,2.5,Yes,4,19,Theft,No,High,0.6,2.23,4.7,
Sunder Nagar,19.250050242294805,72.86692263497025,No,No,2.9,Yes,2,43,Burglary,Yes,Medium,2.0,2.43,6.5,
Hill View,19.246371011462585,72.87132252760469,No,Yes,3.0,Yes,3,33,Burglary,Yes,Medium,0.5,2.36,5.5,
Dahanukar Wadi,19.256598201527638,72.87547109588179,No,No,0.6,No,2,44,Burglary,No,Low,1.2,3.52,9.3,
Patterson Nagar,19.231287777866555,72.86207540373753,No,No,2.3,No,5,46,None,No,Medium,1.1,0.6,2.2,
Shailendra Nagar,19.24889386250922,72.87033087165393,No,No,1.9,No,4,29,None,Yes,Low,0.9,2.51,5.3,
Dahanukar Wadi,19.25971269218541,72.8492010811157,No,No,2.5,Yes,5,42,Accident,No,Low,1.9,3.32,8.6,
River Side,19.25046096849169,72.85689003777394,Yes,Yes,0.3,Yes,4,20,Vandalism,No,Low,1.4,2.21,5.7,
Gorai,19.238887729821727,72.86666544903377,Yes,No,2.5,No,2,1,Accident,No,High,0.2,1.42,4.8,
Ward Nagar,19.253951099544118,72.85721117473085,Yes,No,2.3,No,4,23,Burglary,No,High,1.0,2.6,7.3,
Mandapeshwar,19.266154140779516,72.85609157301641,Yes,Yes,0.5,No,5,0,None,Yes,Low,1.4,3.95,9.1,"Eksar, IC Colony, Shimpoli"
Mountain View,19.243464713840904,72.86582495447914,No,Yes,0.9,No,5,50,Chain Snatching,No,Medium,0.3,1.74,4.3,
Hill View,19.23850785171664,72.85038725052769,No,Yes,1.2,Yes,3,4,None,No,Low,0.4,1.09,4.1,
Dahisar Check Naka,19.23768252174968,72.87339463785922,No,Yes,1.1,Yes,4,37,Chain Snatching,No,High,0.7,1.96,6.4,
Scott Nagar,19.232514715786216,72.87655862701715,No,No,1.5,No,1,2,None,Yes,High,1.0,2.13,4.3,
Johnson Nagar,19.230790186529354,72.86932129354588,Yes,Yes,0.5,No,2,22,Chain Snatching,No,High,0.8,1.36,4.1,
Shivaji Park,19.25529634762395,72.86888031926188,Yes,Yes,0.7,No,4,23,Chain Snatching,No,High,1.9,3.04,8.7,
Baker Nagar,19.25236497331909,72.85672799516546,No,Yes,0.1,No,3,6,Burglary,No,Medium,1.8,2.42,6.3,
Pearson Nagar,19.23496218538097,72.86421194441007,No,No,2.3,No,4,27,Accident,No,Medium,1.4,0.96,2.4,
Green Woods,19.230604017573015,72.8403512281346,No,Yes,0.9,No,1,14,Burglary,Yes,Low,1.3,1.69,4.4,
Peaceful Valley,19.263023992386508,72.8475717829192,Yes,No,1.9,Yes,1,50,Burglary,Yes,High,0.7,3.72,9.3,
Mountain View,19.24900825865901,72.84492857841082,Yes,No,1.8,No,5,46,Burglary,Yes,High,1.5,2.38,6.2,
Lake View,19.26699229519109,72.86002752053696,No,Yes,0.2,Yes,4,18,Vandalism,No,Medium,0.2,4.06,10.6,
Solis Nagar,19.26341938125741,72.8406945391879,Yes,Yes,2.4,Yes,4,4,Burglary,Yes,High,1.2,4.0,8.7,
Scott Nagar,19.24201091589092,72.85387815183431,Yes,Yes,0.3,No,5,29,Theft,Yes,High,1.1,1.3,5.3,
Padilla Nagar,19.243371182433812,72.84759892468537,Yes,Yes,0.4,No,2,12,Burglary,Yes,High,0.6,1.7,4.8,
Shailendra Nagar,19.26485923908181,72.84200028716565,No,No,2.4,Yes,5,38,Vandalism,No,Medium,1.1,4.09,10.9,
Kandarpada,19.234585680212813,72.86565077397006,No,Yes,0.9,Yes,1,11,None,No,Medium,1.0,1.07,3.2,"Borivali Station West, Dahisar Check Naka"
Shivaji Park,19.24842233433652,72.850424392889,No,No,1.4,No,1,35,Chain Snatching,No,Low,0.9,2.08,5.4,
Hill View,19.250382563816267,72.86821956536382,No,No,1.6,No,2,19,Burglary,No,High,1.4,2.53,6.8,
IC Colony,19.24296552869044,72.87889664246636,Yes,Yes,1.8,Yes,3,33,Chain Snatching,Yes,High,1.0,2.74,5.9,"Eksar, Mandapeshwar, Shimpoli"
Long Nagar,19.241982961048343,72.86936101274907,No,No,0.8,Yes,5,27,Burglary,Yes,Medium,0.2,1.86,6.5,
Shivaji Park,19.25344194012237,72.87307399806672,No,Yes,1.8,No,4,15,Accident,Yes,Medium,1.5,3.09,7.4,
Western Heights,19.26625763003556,72.8629136238189,Yes,No,0.4,Yes,1,28,None,Yes,Low,1.8,4.02,9.7,
IC Colony,19.261713995714715,72.86452047160164,Yes,No,1.4,No,5,3,Vandalism,No,Medium,0.3,3.56,8.8,"Eksar, Mandapeshwar, Shimpoli"
Richard Nagar,19.251608950533186,72.84237286788886,Yes,No,2.2,No,2,10,Burglary,Yes,Low,1.6,2.76,7.1,
Rawalpada,19.233176669864104,72.87266397062457,No,Yes,1.5,Yes,5,35,Burglary,No,Medium,1.3,1.74,5.5,
Hill View,19.26475942840796,72.8723132153735,No,No,0.3,No,2,20,Burglary,Yes,Low,1.1,4.14,11.0,
Dahisar Check Naka,19.246852835432392,72.85525883758554,No,No,0.6,Yes,3,8,Theft,No,Medium,1.1,1.81,4.6,
Patterson Nagar,19.241580839755184,72.87821818845245,Yes,Yes,1.4,Yes,3,38,Chain Snatching,Yes,High,0.4,2.6,5.7,
Shivaji Park,19.25140229684856,72.87402051655629,Yes,Yes,2.3,Yes,4,9,None,No,High,1.1,2.96,7.1,
Rawalpada,19.237963337982677,72.86572995238605,Yes,Yes,1.9,No,1,4,Theft,Yes,Medium,1.2,1.28,3.2,
Palm Grove,19.250070750846,72.84720775780465,No,No,1.1,Yes,3,4,Vandalism,Yes,Low,0.2,2.37,5.5,
Ritter Nagar,19.23026719826876,72.84089424591724,No,No,0.4,Yes,3,38,Burglary,Yes,Low,1.3,1.63,4.5,
Johnston Nagar,19.23551936269812,72.85017870859741,No,Yes,1.8,No,4,15,Burglary,Yes,Low,0.5,0.86,3.9,
Campbell Nagar,19.250921388447253,72.85075669227517,No,No,1.6,No,2,15,Accident,No,Medium,0.7,2.34,5.8,
River Side,19.262668419681265,72.84016032689989,Yes,Yes,1.1,Yes,4,7,Accident,No,Medium,1.2,3.95,10.5,
SFIT (Via Eksar Metro),19.269187120795944,72.86116686528229,Yes,No,1.4,No,2,35,None,Yes,Low,1.7,4.31,9.8,
Padilla Nagar,19.234754081327463,72.86339079910142,Yes,Yes,2.7,Yes,2,31,None,Yes,Low,1.4,0.87,1.9,
Sunder Nagar,19.25282591271269,72.87105844370605,Yes,No,1.7,Yes,5,26,Vandalism,No,Low,0.8,2.91,6.3,
Johnston Nagar,19.26626909125632,72.8414162172619,No,Yes,2.4,No,1,18,Vandalism,No,Low,0.8,4.26,11.4,
Johnson Nagar,19.234012168973592,72.85309301952722,No,Yes,1.6,Yes,4,48,Theft,Yes,Low,0.6,0.52,1.5,
SFIT (Via Pai Nagar),19.26634647219204,72.84504703498762,Yes,No,1.8,No,1,32,Chain Snatching,No,High,1.1,4.14,10.3,
SFIT (Via Pai Nagar),19.236246855171284,72.86782198801302,Yes,No,2.9,No,2,1,Vandalism,No,High,0.5,1.36,5.0,
Ocean View,19.243617394681827,72.85570794398313,No,Yes,0.8,Yes,4,14,Theft,No,High,0.5,1.45,4.7,
Smith Nagar,19.24015465848112,72.86602221759779,Yes,No,2.3,No,5,16,None,No,Medium,0.3,1.47,5.2,
Ward Nagar,19.2604978480991,72.8660392439231,No,No,2.3,Yes,1,15,Burglary,Yes,High,1.4,3.47,7.4,
Green Valley,19.26074129164883,72.85114325123367,No,No,2.7,Yes,1,42,Vandalism,Yes,Low,1.3,3.39,9.5,
SFIT (Direct Route),19.2617075969008,72.85027270195572,No,Yes,0.1,No,2,1,Accident,No,High,0.4,3.51,9.1,
Silver Oaks,19.23150530198529,72.8722388888999,No,No,0.6,Yes,3,34,Accident,Yes,Medium,0.6,1.67,3.4,
Silver Oaks,19.26049753312021,72.87306240365443,No,No,2.1,No,5,10,Accident,No,Low,0.4,3.75,9.2,
Dattapada,19.2351016512238,72.87689975133121,No,No,1.0,No,3,29,Vandalism,No,Medium,0.8,2.21,7.1,
Lindsey Nagar,19.247889840697905,72.8561644617145,No,No,0.6,Yes,1,10,None,No,Medium,1.8,1.93,5.9,
SFIT (Via Eksar Metro),19.233297389108124,72.8745612687023,Yes,Yes,1.0,No,5,44,Burglary,Yes,Medium,0.8,1.93,5.8,
Dahanukar Wadi,19.23141193133212,72.86065091917457,Yes,Yes,0.5,Yes,1,38,Accident,No,Medium,0.6,0.46,2.0,
Western Heights,19.25580560384361,72.86677448413258,No,Yes,2.9,No,4,22,None,No,Medium,0.3,3.01,6.0,
