User,Time of Day,Location Type,Transport Mode,Crime Rate,Streetlights,CCTV Presence,Police Presence,Area Risk Level,Escape Route Availability,Safety Plan
User1,Evening 🌆,Residential 🏡,Metro 🚇,Critical ❌,Well-lit 💡,No ❌,No Presence ❌,High Risk 🚨,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User2,Evening 🌆,Slum Area 🚧,Car 🚗,Critical ❌,No lights 🚫,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User3,Morning 🌅,Residential 🏡,Public Transport 🚌,Low ✅,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User4,Late Night 🌌,Crowded Market 🛍️,Bike 🏍️,Low ✅,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User5,Evening 🌆,Isolated 🏜️,Bike 🏍️,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User6,Afternoon ☀️,Residential 🏡,Walking 🚶‍♂️,High 🚨,Well-lit 💡,No ❌,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User7,Night 🌙,Isolated 🏜️,Car 🚗,Low ✅,No lights 🚫,No ❌,Frequent Patrol 🚔,Safe ✅,Limited 🔵,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User8,Late Night 🌌,Residential 🏡,Metro 🚇,High 🚨,Dimly-lit 🌑,No ❌,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User9,Evening 🌆,Residential 🏡,Metro 🚇,Low ✅,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,High Risk 🚨,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User10,Night 🌙,Isolated 🏜️,Walking 🚶‍♂️,High 🚨,No lights 🚫,No ❌,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User11,Night 🌙,Isolated 🏜️,Metro 🚇,Moderate ⚠️,No lights 🚫,No ❌,Frequent Patrol 🚔,High Risk 🚨,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User12,Night 🌙,Commercial 🏢,Metro 🚇,Critical ❌,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User13,Night 🌙,Slum Area 🚧,Walking 🚶‍♂️,Moderate ⚠️,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
